Security suite run against the fixed working tree (base commit dc6d5d8 plus the changes in this audit).
Node.js v24.21.0. No shims, no skipped tests.

Totals: passed 126, failed 0, skipped 0

## src/core.test.ts

passed | mergeServerErrors (CWE-1321, ASVS V15.3.6, F-5) > skips a __proto__ field error key
passed | mergeServerErrors (CWE-1321, ASVS V15.3.6, F-5) > skips a constructor field error key
passed | mergeServerErrors (CWE-1321, ASVS V15.3.6, F-5) > skips a prototype field error key
passed | mergeServerErrors (CWE-1321, ASVS V15.3.6, F-5) > creates new metadata for an inherited name instead of mutating the prototype
passed | mergeServerErrors (CWE-1321, ASVS V15.3.6, F-5) > still merges an ordinary field error

## src/security.test.ts

passed | prototype pollution: dangerous path segments are rejected > rejects "__proto__[polluted]"
passed | prototype pollution: dangerous path segments are rejected > rejects "[__proto__][polluted]"
passed | prototype pollution: dangerous path segments are rejected > rejects "[__proto__].polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "__proto__.__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "a.__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "a.b.__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "items.0.__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "items[0][__proto__][polluted]"
passed | prototype pollution: dangerous path segments are rejected > rejects "items[0].__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "constructor.prototype.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "constructor[prototype][polluted]"
passed | prototype pollution: dangerous path segments are rejected > rejects "a.constructor.prototype.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "items.0.constructor.prototype.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "a.constructor.constructor"
passed | prototype pollution: dangerous path segments are rejected > rejects "a.prototype"
passed | prototype pollution: dangerous path segments are rejected > rejects "__proto__"
passed | prototype pollution: dangerous path segments are rejected > rejects "constructor"
passed | prototype pollution: dangerous path segments are rejected > rejects "prototype"
passed | prototype pollution: dangerous path segments are rejected > rejects "__proto__.0"
passed | prototype pollution: dangerous path segments are rejected > rejects "__proto__[0]"
passed | prototype pollution: dangerous path segments are rejected > rejects "__pro]to__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "__proto__]].polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "]__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "..__proto__..polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects ".__proto__.polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects "[[__proto__]].polluted"
passed | prototype pollution: dangerous path segments are rejected > rejects the empty-array sentinel on a dangerous key
passed | prototype pollution: dangerous path segments are rejected > rejects a dangerous key that follows valid keys
passed | prototype pollution: dangerous path segments are rejected > rejects a repeated dangerous flat key
passed | prototype pollution: dangerous path segments are rejected > rejects a dangerous key that carries a File value
passed | prototype pollution: dangerous path segments are rejected > rejects a percent-encoded dangerous key after the one URL decode
passed | prototype pollution: dangerous path segments are rejected > does not decode a second time: a double-encoded key stays literal (ASVS V1.1.1)
passed | prototype pollution: dangerous path segments are rejected > treats the look-alike "__PROTO__.x" as an ordinary key
passed | prototype pollution: dangerous path segments are rejected > treats the look-alike "＿＿proto＿＿.x" as an ordinary key
passed | prototype pollution: dangerous path segments are rejected > treats the look-alike "__proto__ .x" as an ordinary key
passed | prototype pollution: dangerous path segments are rejected > treats the look-alike "Constructor.x" as an ordinary key
passed | prototype pollution: dangerous path segments are rejected > treats the look-alike "_proto_.x" as an ordinary key
passed | prototype pollution: dangerous path segments are rejected > leaves the result with its normal prototype
passed | prototype pollution: dangerous path segments are rejected > parsePath output is what the key rules run on
passed | resource exhaustion: array indices > rejects a 4-billion index quickly instead of allocating (F-2)
passed | resource exhaustion: array indices > rejects the bracket form of a huge index
passed | resource exhaustion: array indices > rejects a huge index nested inside an array
passed | resource exhaustion: array indices > accepts the last index below maxArrayLength
passed | resource exhaustion: array indices > rejects the index equal to maxArrayLength
passed | resource exhaustion: array indices > rejects `length` on an array (F-3)
passed | resource exhaustion: array indices > rejects any non-index key on an existing array
passed | resource exhaustion: array indices > honors a caller-supplied maxArrayLength
passed | resource exhaustion: depth > accepts a path at maxDepth
passed | resource exhaustion: depth > rejects a path above maxDepth
passed | resource exhaustion: depth > rejects a 20000-segment path without a stack overflow
passed | resource exhaustion: depth > counts bracket segments toward depth
passed | resource exhaustion: depth > honors a caller-supplied maxDepth
passed | resource exhaustion: field count > accepts exactly maxFields entries
passed | resource exhaustion: field count > rejects more than maxFields entries
passed | resource exhaustion: field count > counts duplicate keys toward the limit
passed | path parsing: inherited property names are ordinary fields (F-4) > parses valueOf.x as a nested field
passed | path parsing: inherited property names are ordinary fields (F-4) > parses hasOwnProperty.x as a nested field
passed | path parsing: inherited property names are ordinary fields (F-4) > parses toString.x as a nested field
passed | path parsing: inherited property names are ordinary fields (F-4) > parses isPrototypeOf.x as a nested field
passed | path parsing: inherited property names are ordinary fields (F-4) > parses __defineGetter__.x as a nested field
passed | path parsing: inherited property names are ordinary fields (F-4) > parses an inherited name as a flat field
passed | path parsing: inherited property names are ordinary fields (F-4) > collects duplicate inherited-name keys into an array
passed | path parsing: inherited property names are ordinary fields (F-4) > parses an inherited name inside a nested object
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps "-1" as a string segment
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps "01" as a string segment
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps "1e3" as a string segment
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps "0x1" as a string segment
